date,Observed,LSTM_predicted,Raven_predicted
1981-04-29,110.0,77.824066,79.02409583333333
1981-04-30,108.000015,78.00734,78.310575
1981-05-01,106.0,76.69336,77.2615375
1981-05-02,104.0,74.322975,75.70105
1981-05-03,101.0,71.52576,73.6628
1981-05-04,97.8,69.30771,71.16030833333333
1981-05-05,94.3,66.041115,68.60968749999999
1981-05-06,91.1,61.117172,66.36674166666667
1981-05-07,87.50001,60.245907,64.00545833333334
1981-05-08,84.6,58.437984,61.16910416666667
1981-05-09,81.1,57.27402,58.359095833333335
1981-05-10,78.1,54.964592,56.48260416666667
1981-05-11,83.8,61.351673,62.39554166666667
1981-05-12,101.0,78.926186,84.02315833333334
1981-05-13,120.0,97.72541,103.3096375
1981-05-14,131.0,111.45038,118.04016666666666
1981-05-15,133.00002,123.86909,126.40733333333333
1981-05-16,131.0,134.28346,130.26620833333334
1981-05-17,125.0,141.6663,131.14520833333333
1981-05-18,120.0,138.34631,128.972625
1981-05-19,115.0,132.23468,123.93695833333334
1981-05-20,110.0,124.57998,117.14829166666668
1981-05-21,105.0,119.23695,109.81175
1981-05-22,99.6,113.9347,102.55610416666667
1981-05-23,94.3,105.77151,95.37849583333333
1981-05-24,89.4,99.81209,88.48720416666667
1981-05-25,85.7,93.12911,82.71730833333334
1981-05-26,82.8,90.19536,78.79020416666667
1981-05-27,81.40001,89.88576,76.17114166666667
1981-05-28,80.200005,87.4583,73.37374166666667
1981-05-29,78.4,84.19549,70.74727083333333
1981-05-30,76.8,81.94292,68.61435
1981-05-31,74.00001,81.30228,66.79048333333333
1981-06-01,71.1,77.74482,64.35805833333333
1981-06-02,67.90001,72.61139,61.44830416666667
1981-06-03,64.9,68.76923,58.67004166666666
1981-06-04,62.4,66.57013,56.7588625
1981-06-05,60.8,66.64406,55.307050000000004
1981-06-06,61.0,65.99442,54.46919166666667
1981-06-07,59.7,68.51174,54.0601
1981-06-08,58.6,67.83556,53.92198333333334
1981-06-09,58.2,66.11386,54.42123333333333
1981-06-10,56.600006,66.245384,54.531412499999995
1981-06-11,54.9,64.97484,54.02312083333334
1981-06-12,53.5,64.06897,53.1306375
1981-06-13,52.1,63.640858,51.983325
1981-06-14,50.8,63.76386,50.72870833333334
1981-06-15,55.1,64.39795,50.282804166666665
1981-06-16,61.500008,69.16555,52.976395833333335
1981-06-17,65.6,73.7841,56.34079166666667
1981-06-18,68.5,74.334114,57.741350000000004
1981-06-19,71.3,72.97634,56.65969583333333
1981-06-20,72.0,71.43762,54.25652916666667
1981-06-21,71.2,67.53335,51.708708333333334
1981-06-22,71.3,68.07594,50.732075
1981-06-23,70.1,70.9961,51.7879
1981-06-24,68.5,71.02002,52.842575000000004
1981-06-25,67.5,70.9568,53.94350416666666
1981-06-26,65.200005,70.64628,54.725975
1981-06-27,62.4,73.13489,55.27203333333333
1981-06-28,60.5,68.52826,54.701225
1981-06-29,58.4,66.239944,53.5648
1981-06-30,56.600006,65.5273,52.15699166666667
1981-07-01,54.3,63.609108,50.76759583333333
1981-07-02,52.2,61.599323,49.239829166666674
1981-07-03,50.0,59.2542,47.7990375
1981-07-04,47.7,56.657696,46.2209375
1981-07-05,45.5,57.876415,45.03411666666667
1981-07-06,43.9,54.833244,44.124491666666664
1981-07-07,42.9,51.6608,43.0804125
1981-07-08,41.8,49.96628,41.744841666666666
1981-07-09,40.5,46.43738,40.230804166666665
1981-07-10,39.4,42.37674,38.6240375
1981-07-11,37.600002,38.542286,36.70815416666667
1981-07-12,36.2,35.231926,34.7901875
1981-07-13,35.0,32.738888,33.08882083333334
1981-07-14,33.4,31.39848,31.608429166666667
1981-07-15,31.900003,29.838398,30.434270833333333
1981-07-16,30.800003,29.390251,29.018641666666667
1981-07-17,29.500004,26.208954,27.5438625
1981-07-18,28.1,25.401836,26.203100000000003
1981-07-19,26.9,26.714413,25.120654166666668
1981-07-20,26.400003,23.575813,24.424520833333332
1981-07-21,25.4,23.48731,23.95698333333333
1981-07-22,23.900002,22.240902,23.315524999999997
1981-07-23,22.6,21.505556,22.417766666666665
1981-07-24,21.7,20.628096,21.542654166666665
1981-07-25,21.000002,22.088064,20.741570833333334
1981-07-26,20.1,21.858376,20.071020833333332
1981-07-27,20.5,23.198772,20.214275
1981-07-28,21.3,19.812899,20.232812499999998
1981-07-29,23.300001,19.21131,20.140958333333334
1981-07-30,24.3,18.36766,19.7672
1981-07-31,25.0,18.660694,19.22670833333333
1981-08-01,25.200003,17.764582,18.618395833333334
1981-08-02,24.8,17.606619,18.015545833333334
1981-08-03,24.4,17.214827,17.395133333333334
1981-08-04,24.600002,17.3778,18.195916666666665
1981-08-05,26.7,21.347286,20.413791666666665
1981-08-06,26.8,21.641325,20.518083333333333
1981-08-07,28.4,21.910147,20.034766666666666
1981-08-08,30.200003,23.222235,20.01120416666667
1981-08-09,30.9,25.51097,20.493766666666666
1981-08-10,31.3,28.18204,21.6036125
1981-08-11,32.4,30.571087,22.847245833333332
1981-08-12,33.1,29.955618,23.990933333333334
1981-08-13,32.700005,30.469168,25.038966666666667
1981-08-14,32.100002,28.423067,25.572420833333336
1981-08-15,31.8,28.398539,26.32149166666667
1981-08-16,31.5,27.184471,27.297420833333334
1981-08-17,30.200003,27.154903,27.683854166666666
1981-08-18,28.900003,25.60884,27.4686375
1981-08-19,27.700003,25.03749,26.9202125
1981-08-20,26.6,23.481802,26.0996875
1981-08-21,25.4,22.218876,25.250216666666663
1981-08-22,24.2,21.526093,24.403541666666666
1981-08-23,23.200003,21.049295,23.7179625
1981-08-24,22.699999,20.880516,23.1320375
1981-08-25,22.100002,20.192692,22.70611666666667
1981-08-26,21.499998,19.248386,22.01352083333333
1981-08-27,21.000002,18.387228,21.277154166666666
1981-08-28,20.3,17.784342,20.544216666666667
1981-08-29,21.2,16.84658,19.894629166666665
1981-08-30,21.7,21.138502,20.014795833333334
1981-08-31,23.6,24.888575,21.027429166666668
1981-09-01,26.5,28.158312,22.756020833333334
