,Observed,Predicted
1981-01-01,,0.49003497
1981-01-02,,0.47299138
1981-01-03,,0.44537985
1981-01-04,,0.44106904
1981-01-05,,0.4436291
1981-01-06,,0.44547087
1981-01-07,,0.43543893
1981-01-08,,0.43068528
1981-01-09,,0.42804486
1981-01-10,,0.4189341
1981-01-11,,0.39883742
1981-01-12,,0.39899042
1981-01-13,,0.39607936
1981-01-14,,0.39343107
1981-01-15,,0.39024857
1981-01-16,,0.3806444
1981-01-17,,0.37363622
1981-01-18,,0.36416194
1981-01-19,,0.3560005
1981-01-20,,0.36127636
1981-01-21,,0.3621553
1981-01-22,,0.33573288
1981-01-23,,0.3344314
1981-01-24,,0.34575102
1981-01-25,,0.3436353
1981-01-26,,0.32310438
1981-01-27,,0.3275105
1981-01-28,,0.34898123
1981-01-29,,0.34774032
1981-01-30,,0.33100212
1981-01-31,,0.33097875
1981-02-01,,0.32061
1981-02-02,,0.3197697
1981-02-03,,0.31277707
1981-02-04,,0.32484666
1981-02-05,,0.31312788
1981-02-06,,0.30891353
1981-02-07,,0.31436372
1981-02-08,,0.30689362
1981-02-09,,0.30652693
1981-02-10,,0.31875017
1981-02-11,,0.36103606
1981-02-12,,0.3467571
1981-02-13,,0.34927532
1981-02-14,,0.3502349
1981-02-15,,0.32872865
1981-02-16,,0.34579283
1981-02-17,,0.3745053
1981-02-18,,0.47316763
1981-02-19,,0.64069706
1981-02-20,,0.98587704
1981-02-21,,1.41365
1981-02-22,,1.8611363
1981-02-23,,2.67128
1981-02-24,,4.4495606
1981-02-25,,5.770446
1981-02-26,,6.253642
1981-02-27,,5.7894707
1981-02-28,,5.0885715
1981-03-01,,4.2526383
1981-03-02,,3.5770366
1981-03-03,,3.0424871
1981-03-04,,2.5438051
1981-03-05,,2.211635
1981-03-06,,1.9266437
1981-03-07,,1.7044511
1981-03-08,,1.5496877
1981-03-09,,1.4176769
1981-03-10,,1.3038384
1981-03-11,,1.2141025
1981-03-12,,1.1321517
1981-03-13,,1.0545549
1981-03-14,,0.98073506
1981-03-15,,0.9216065
1981-03-16,,0.8801832
1981-03-17,,0.815916
1981-03-18,,0.7819155
1981-03-19,,0.7506453
1981-03-20,,0.73665184
1981-03-21,,0.73125213
1981-03-22,,0.7103452
1981-03-23,,0.7109715
1981-03-24,,0.7267031
1981-03-25,,0.7640584
1981-03-26,,0.8341596
1981-03-27,,0.9178054
1981-03-28,,0.9957865
1981-03-29,,1.1395684
1981-03-30,,1.6433152
1981-03-31,,2.8718174
1981-04-01,,4.0847626
1981-04-02,,5.4007726
1981-04-03,,5.9716363
1981-04-04,,6.3301134
1981-04-05,,6.572913
1981-04-06,,6.158426
1981-04-07,,5.3050804
1981-04-08,,4.489221
1981-04-09,,4.288992
1981-04-10,,4.2339735
1981-04-11,,3.9371893
1981-04-12,,3.6394107
1981-04-13,,3.1106634
1981-04-14,,2.8530893
1981-04-15,,2.6758084
1981-04-16,,2.4223316
1981-04-17,,2.2084243
1981-04-18,,2.0152082
1981-04-19,,1.9171742
1981-04-20,,1.8059131
1981-04-21,,1.6874027
1981-04-22,,1.562082
1981-04-23,,1.4531522
1981-04-24,,1.4788284
1981-04-25,,1.4648947
1981-04-26,,1.4265414
1981-04-27,,1.375711
1981-04-28,,1.307271
1981-04-29,,1.3217034
1981-04-30,,1.4442507
1981-05-01,,1.425348
1981-05-02,,1.3557543
1981-05-03,,1.2746489
1981-05-04,,1.1831493
1981-05-05,,1.0936179
1981-05-06,,1.0802361
1981-05-07,,1.0282897
1981-05-08,,0.9622727
1981-05-09,,0.9112443
1981-05-10,,0.89171547
1981-05-11,,1.2813591
1981-05-12,,2.6907337
1981-05-13,,3.550028
1981-05-14,,3.9661586
1981-05-15,,3.9353163
1981-05-16,,3.6442242
1981-05-17,,3.2588878
1981-05-18,,2.839294
1981-05-19,,2.4069595
1981-05-20,,2.038545
1981-05-21,,1.76018
1981-05-22,,1.5385933
1981-05-23,,1.3664504
1981-05-24,,1.2330025
1981-05-25,,1.1640882
1981-05-26,,1.2065778
1981-05-27,,1.1975281
1981-05-28,,1.1405276
1981-05-29,,1.0790834
1981-05-30,,1.0465206
1981-05-31,,1.0443907
1981-06-01,,0.9638104
1981-06-02,,0.8843513
1981-06-03,,0.8285515
1981-06-04,,0.8432191
1981-06-05,,0.8732775
1981-06-06,,0.8826289
1981-06-07,,0.91396797
1981-06-08,,0.8867371
1981-06-09,,0.89162534
1981-06-10,,0.84126335
1981-06-11,,0.79134136
1981-06-12,,0.76030475
1981-06-13,,0.73409265
1981-06-14,,0.7204113
1981-06-15,,0.80411434
1981-06-16,,0.9999386
1981-06-17,,1.2317228
1981-06-18,,1.2486094
1981-06-19,,1.1597706
1981-06-20,,1.0541254
1981-06-21,,0.9288861
1981-06-22,,0.9500515
1981-06-23,,1.0947486
1981-06-24,,1.0873966
1981-06-25,,1.0908433
1981-06-26,,1.0327996
1981-06-27,,0.9645911
1981-06-28,,0.8737486
1981-06-29,,0.79862
1981-06-30,,0.75947267
1981-07-01,,0.72307664
1981-07-02,,0.70330995
1981-07-03,,0.6882867
1981-07-04,,0.677967
1981-07-05,,0.701584
1981-07-06,,0.6786121
1981-07-07,,0.6439348
1981-07-08,,0.57624733
1981-07-09,,0.52952784
1981-07-10,,0.49235514
1981-07-11,,0.44224676
1981-07-12,,0.40791106
1981-07-13,,0.38314918
1981-07-14,,0.39550397
1981-07-15,,0.3781315
1981-07-16,,0.34970418
1981-07-17,,0.32741645
1981-07-18,,0.3114644
1981-07-19,,0.2975626
1981-07-20,,0.3074938
1981-07-21,,0.31583324
1981-07-22,,0.3192561
1981-07-23,,0.30189407
1981-07-24,,0.28368327
1981-07-25,,0.2582847
1981-07-26,,0.2705373
1981-07-27,,0.35349047
1981-07-28,,0.34646308
1981-07-29,,0.33489552
1981-07-30,,0.3206189
1981-07-31,,0.29914683
1981-08-01,,0.27546382
1981-08-02,,0.26787478
1981-08-03,,0.25770557
1981-08-04,,0.26723397
1981-08-05,,0.3663665
1981-08-06,,0.33759233
1981-08-07,,0.31663564
1981-08-08,,0.3107736
1981-08-09,,0.3563198
1981-08-10,,0.38182625
1981-08-11,,0.35957307
1981-08-12,,0.35307822
1981-08-13,,0.34365657
1981-08-14,,0.31465152
1981-08-15,,0.31155106
1981-08-16,,0.32486406
1981-08-17,,0.3198783
1981-08-18,,0.30202314
1981-08-19,,0.2701886
1981-08-20,,0.25035697
1981-08-21,,0.23794782
1981-08-22,,0.22296542
1981-08-23,,0.22006814
1981-08-24,,0.23053257
1981-08-25,,0.24104482
1981-08-26,,0.23089562
1981-08-27,,0.21494843
1981-08-28,,0.20278259
1981-08-29,,0.19812553
1981-08-30,,0.31605023
1981-08-31,,0.38707826
1981-09-01,,0.45329967
1981-09-02,,0.5981472
1981-09-03,,0.764053
1981-09-04,,0.9869871
1981-09-05,,1.4889647
1981-09-06,,1.8512526
1981-09-07,,1.8715235
1981-09-08,,1.8538855
1981-09-09,,1.7038778
1981-09-10,,1.7141674
1981-09-11,,1.8978903
1981-09-12,,1.9825996
1981-09-13,,1.973384
1981-09-14,,1.7230998
1981-09-15,,1.5940642
1981-09-16,,1.4181682
1981-09-17,,1.2116077
1981-09-18,,1.0845047
1981-09-19,,1.0003097
1981-09-20,,1.0080074
1981-09-21,,0.95849305
1981-09-22,,0.884617
1981-09-23,,0.8342687
1981-09-24,,0.763901
1981-09-25,,0.7216978
1981-09-26,,0.68739194
1981-09-27,,0.85783803
1981-09-28,,0.9856353
1981-09-29,,1.0229373
1981-09-30,,0.9930603
1981-10-01,,0.99245155
1981-10-02,,1.197971
1981-10-03,,1.3866246
1981-10-04,,1.4855216
1981-10-05,,1.4664549
1981-10-06,,1.5282102
1981-10-07,,1.9838377
1981-10-08,,2.5489845
1981-10-09,,2.7650297
1981-10-10,,2.708084
1981-10-11,,2.4899232
1981-10-12,,2.2323685
1981-10-13,,2.0027905
1981-10-14,,1.7996864
1981-10-15,,1.669487
1981-10-16,,1.5754981
1981-10-17,,1.4878411
1981-10-18,,1.5171243
1981-10-19,,1.7730302
1981-10-20,,1.8625307
1981-10-21,,1.89877
1981-10-22,,1.781001
1981-10-23,,1.686237
1981-10-24,,1.5864128
1981-10-25,,1.4882233
1981-10-26,,1.4057902
1981-10-27,,1.3594161
1981-10-28,,1.2900336
1981-10-29,,1.2315916
1981-10-30,,1.1724348
1981-10-31,,1.1202673
1981-11-01,,1.0817547
1981-11-02,,1.0301111
1981-11-03,,0.9801141
1981-11-04,,0.92596334
1981-11-05,,0.89065593
1981-11-06,,0.86502045
1981-11-07,,0.8624184
1981-11-08,,0.8488773
1981-11-09,,0.8160913
1981-11-10,,0.774975
1981-11-11,,0.7457013
1981-11-12,,0.71566844
1981-11-13,,0.7026497
1981-11-14,,0.68333864
1981-11-15,,0.66485476
1981-11-16,,0.6452687
1981-11-17,,0.6511627
1981-11-18,,0.6686902
1981-11-19,,0.6771368
1981-11-20,,0.71430826
1981-11-21,,0.79838353
1981-11-22,,0.81233424
1981-11-23,,0.784364
1981-11-24,,0.7512049
1981-11-25,,0.71521735
1981-11-26,,0.68926466
1981-11-27,,0.75601643
1981-11-28,,0.7993134
1981-11-29,,0.78295946
1981-11-30,,0.7521377
1981-12-01,,0.7120928
1981-12-02,,0.75646406
1981-12-03,,0.8190063
1981-12-04,,0.85259414
1981-12-05,,0.84133095
1981-12-06,,0.80087084
1981-12-07,,0.7392951
1981-12-08,,0.70807827
1981-12-09,,0.67250204
1981-12-10,,0.6470036
1981-12-11,,0.6461918
1981-12-12,,0.62897176
1981-12-13,,0.6097805
1981-12-14,,0.6094352
1981-12-15,,0.6074495
1981-12-16,,0.5937314
1981-12-17,,0.56935567
1981-12-18,,0.5389175
1981-12-19,,0.51080734
1981-12-20,,0.5050573
1981-12-21,,0.49849033
1981-12-22,,0.50356406
1981-12-23,,0.50349665
1981-12-24,,0.49918714
1981-12-25,,0.4919607
1981-12-26,,0.47835195
1981-12-27,,0.464621
1981-12-28,,0.45473292
1981-12-29,,0.45129946
1981-12-30,,0.45084566
1981-12-31,,0.4435749
