,Observed,Predicted
1981-01-01,,1.784227
1981-01-02,,1.6879083
1981-01-03,,1.5566806
1981-01-04,,1.5462555
1981-01-05,,1.5381197
1981-01-06,,1.5404483
1981-01-07,,1.4986075
1981-01-08,,1.4650414
1981-01-09,,1.4502866
1981-01-10,,1.3924853
1981-01-11,,1.3058676
1981-01-12,,1.3172058
1981-01-13,,1.3283944
1981-01-14,,1.3067496
1981-01-15,,1.2844782
1981-01-16,,1.260429
1981-01-17,,1.240741
1981-01-18,,1.2153281
1981-01-19,,1.1781775
1981-01-20,,1.2005637
1981-01-21,,1.1994743
1981-01-22,,1.1364655
1981-01-23,,1.125597
1981-01-24,,1.1624051
1981-01-25,,1.1635336
1981-01-26,,1.1065425
1981-01-27,,1.1191148
1981-01-28,,1.1623585
1981-01-29,,1.1596674
1981-01-30,,1.0995029
1981-01-31,,1.1018318
1981-02-01,,1.0805403
1981-02-02,,1.0145105
1981-02-03,,1.0318823
1981-02-04,,1.0363394
1981-02-05,,0.9878154
1981-02-06,,0.9802296
1981-02-07,,1.012721
1981-02-08,,0.98429716
1981-02-09,,0.9975094
1981-02-10,,1.0009946
1981-02-11,,1.3614391
1981-02-12,,1.5254937
1981-02-13,,1.5372392
1981-02-14,,1.5345862
1981-02-15,,1.4762423
1981-02-16,,1.5146486
1981-02-17,,1.8070065
1981-02-18,,2.3792667
1981-02-19,,3.7860408
1981-02-20,,6.156022
1981-02-21,,7.9200335
1981-02-22,,9.538419
1981-02-23,,12.731632
1981-02-24,,17.398792
1981-02-25,,18.511868
1981-02-26,,17.650423
1981-02-27,,16.027132
1981-02-28,,14.135957
1981-03-01,,12.611182
1981-03-02,,11.287893
1981-03-03,,9.639486
1981-03-04,,8.372428
1981-03-05,,7.6269946
1981-03-06,,6.76216
1981-03-07,,6.3562913
1981-03-08,,5.9887176
1981-03-09,,5.6996813
1981-03-10,,5.333183
1981-03-11,,4.876106
1981-03-12,,4.6524935
1981-03-13,,4.385735
1981-03-14,,4.1287847
1981-03-15,,4.0727773
1981-03-16,,3.9152112
1981-03-17,,3.5628715
1981-03-18,,3.5692396
1981-03-19,,3.4305255
1981-03-20,,3.3683052
1981-03-21,,3.2065468
1981-03-22,,3.110106
1981-03-23,,3.1149008
1981-03-24,,3.1948237
1981-03-25,,3.3119588
1981-03-26,,3.5111208
1981-03-27,,3.7925148
1981-03-28,,4.04081
1981-03-29,,4.588028
1981-03-30,,6.762972
1981-03-31,,10.562303
1981-04-01,,11.182839
1981-04-02,,13.319201
1981-04-03,,12.894576
1981-04-04,,12.148437
1981-04-05,,12.444946
1981-04-06,,11.526058
1981-04-07,,10.601796
1981-04-08,,10.112207
1981-04-09,,9.753303
1981-04-10,,9.851148
1981-04-11,,8.559877
1981-04-12,,7.881697
1981-04-13,,7.42007
1981-04-14,,7.32571
1981-04-15,,7.3447423
1981-04-16,,6.7337112
1981-04-17,,6.4041243
1981-04-18,,6.2994843
1981-04-19,,5.944277
1981-04-20,,5.574874
1981-04-21,,5.21816
1981-04-22,,4.820997
1981-04-23,,4.9646196
1981-04-24,,5.213085
1981-04-25,,5.062637
1981-04-26,,5.0554576
1981-04-27,,4.9983716
1981-04-28,,4.6636147
1981-04-29,,4.8546085
1981-04-30,,5.18284
1981-05-01,,4.831141
1981-05-02,,4.659326
1981-05-03,,4.3134685
1981-05-04,,4.0385876
1981-05-05,,3.8983092
1981-05-06,,3.8313434
1981-05-07,,3.6466362
1981-05-08,,3.42949
1981-05-09,,3.1298442
1981-05-10,,3.2894657
1981-05-11,,6.645416
1981-05-12,,12.815532
1981-05-13,,12.623381
1981-05-14,,12.249311
1981-05-15,,11.265135
1981-05-16,,9.855233
1981-05-17,,9.026337
1981-05-18,,7.663008
1981-05-19,,6.6977816
1981-05-20,,5.90603
1981-05-21,,5.364322
1981-05-22,,4.964444
1981-05-23,,4.536344
1981-05-24,,4.1277194
1981-05-25,,4.007886
1981-05-26,,4.2049994
1981-05-27,,4.202528
1981-05-28,,3.9945703
1981-05-29,,3.891794
1981-05-30,,3.8641121
1981-05-31,,3.7560937
1981-06-01,,3.4274511
1981-06-02,,3.1301749
1981-06-03,,2.9316897
1981-06-04,,2.9706032
1981-06-05,,2.9521632
1981-06-06,,3.0648563
1981-06-07,,3.0373163
1981-06-08,,2.9104083
1981-06-09,,2.970836
1981-06-10,,2.8105454
1981-06-11,,2.6333206
1981-06-12,,2.5093186
1981-06-13,,2.3513908
1981-06-14,,2.2760966
1981-06-15,,2.56269
1981-06-16,,3.6450636
1981-06-17,,4.130954
1981-06-18,,3.8855295
1981-06-19,,3.4676852
1981-06-20,,2.9220629
1981-06-21,,2.630163
1981-06-22,,3.1993697
1981-06-23,,3.7392719
1981-06-24,,3.736739
1981-06-25,,3.8776674
1981-06-26,,3.4884267
1981-06-27,,3.3135073
1981-06-28,,2.9042995
1981-06-29,,2.747955
1981-06-30,,2.4741945
1981-07-01,,2.438972
1981-07-02,,2.3196888
1981-07-03,,2.2101676
1981-07-04,,2.1372335
1981-07-05,,2.1461327
1981-07-06,,2.0359957
1981-07-07,,1.9710597
1981-07-08,,1.8551235
1981-07-09,,1.8196522
1981-07-10,,1.7111969
1981-07-11,,1.6239982
1981-07-12,,1.4973502
1981-07-13,,1.4040576
1981-07-14,,1.3590021
1981-07-15,,1.4271448
1981-07-16,,1.3389455
1981-07-17,,1.2481918
1981-07-18,,1.2107491
1981-07-19,,1.1817975
1981-07-20,,1.4092013
1981-07-21,,1.5621504
1981-07-22,,1.5058528
1981-07-23,,1.3656878
1981-07-24,,1.2596087
1981-07-25,,1.2090026
1981-07-26,,1.1600293
1981-07-27,,1.2032374
1981-07-28,,1.2569973
1981-07-29,,1.3386345
1981-07-30,,1.308226
1981-07-31,,1.2471243
1981-08-01,,1.1963379
1981-08-02,,1.1080922
1981-08-03,,1.0268381
1981-08-04,,1.4365891
1981-08-05,,2.2740614
1981-08-06,,2.2156265
1981-08-07,,1.9148004
1981-08-08,,1.9863695
1981-08-09,,1.9667926
1981-08-10,,1.9543196
1981-08-11,,1.9049157
1981-08-12,,1.8436065
1981-08-13,,1.775647
1981-08-14,,1.4895587
1981-08-15,,1.5646435
1981-08-16,,1.6721617
1981-08-17,,1.6806076
1981-08-18,,1.4997723
1981-08-19,,1.3488394
1981-08-20,,1.1588806
1981-08-21,,1.0695785
1981-08-22,,0.9981364
1981-08-23,,1.0313964
1981-08-24,,0.9587361
1981-08-25,,1.0197359
1981-08-26,,0.98180854
1981-08-27,,0.90056896
1981-08-28,,0.8698473
1981-08-29,,0.97055835
1981-08-30,,1.0582907
1981-08-31,,1.315924
1981-09-01,,1.5734665
1981-09-02,,2.1875088
1981-09-03,,2.763154
1981-09-04,,3.7210212
1981-09-05,,6.1436057
1981-09-06,,7.3838186
1981-09-07,,6.8542924
1981-09-08,,6.6375823
1981-09-09,,5.9639454
1981-09-10,,5.688838
1981-09-11,,5.7296557
1981-09-12,,6.4276147
1981-09-13,,5.2597146
1981-09-14,,4.710882
1981-09-15,,4.280886
1981-09-16,,4.0049644
1981-09-17,,3.423936
1981-09-18,,3.424842
1981-09-19,,3.0376484
1981-09-20,,3.061266
1981-09-21,,3.0442007
1981-09-22,,2.7562742
1981-09-23,,2.6962724
1981-09-24,,2.6352649
1981-09-25,,2.4279947
1981-09-26,,2.3874187
1981-09-27,,2.5928423
1981-09-28,,2.80771
1981-09-29,,2.7323282
1981-09-30,,2.6943855
1981-10-01,,2.6732833
1981-10-02,,2.9530797
1981-10-03,,3.3460038
1981-10-04,,3.0857615
1981-10-05,,2.9770641
1981-10-06,,3.0394466
1981-10-07,,4.0027924
1981-10-08,,4.6141167
1981-10-09,,4.659245
1981-10-10,,4.5965624
1981-10-11,,4.4716287
1981-10-12,,4.235469
1981-10-13,,3.937022
1981-10-14,,3.7657158
1981-10-15,,3.6612403
1981-10-16,,3.6244907
1981-10-17,,3.4254286
1981-10-18,,3.6173294
1981-10-19,,3.8074386
1981-10-20,,3.8765812
1981-10-21,,3.910565
1981-10-22,,3.7178493
1981-10-23,,3.6173544
1981-10-24,,3.3783526
1981-10-25,,3.4300292
1981-10-26,,3.397966
1981-10-27,,3.3343737
1981-10-28,,3.2039018
1981-10-29,,3.072209
1981-10-30,,2.9732947
1981-10-31,,2.8264997
1981-11-01,,2.7830713
1981-11-02,,2.6929338
1981-11-03,,2.6277394
1981-11-04,,2.5440414
1981-11-05,,2.5010982
1981-11-06,,2.492445
1981-11-07,,2.555366
1981-11-08,,2.5489552
1981-11-09,,2.4129813
1981-11-10,,2.3436043
1981-11-11,,2.2991943
1981-11-12,,2.2319345
1981-11-13,,2.2268546
1981-11-14,,2.1984384
1981-11-15,,2.183199
1981-11-16,,2.1652021
1981-11-17,,2.1921725
1981-11-18,,2.2723806
1981-11-19,,2.3045073
1981-11-20,,2.4563105
1981-11-21,,2.6560504
1981-11-22,,2.6523423
1981-11-23,,2.5029314
1981-11-24,,2.4417636
1981-11-25,,2.3653672
1981-11-26,,2.3023646
1981-11-27,,2.5331788
1981-11-28,,2.5851052
1981-11-29,,2.5877912
1981-11-30,,2.4941814
1981-12-01,,2.4485273
1981-12-02,,2.5776734
1981-12-03,,2.698732
1981-12-04,,2.7938197
1981-12-05,,2.7311342
1981-12-06,,2.595183
1981-12-07,,2.465881
1981-12-08,,2.4075947
1981-12-09,,2.3102856
1981-12-10,,2.250095
1981-12-11,,2.2372727
1981-12-12,,2.2048876
1981-12-13,,2.1263168
1981-12-14,,2.1879497
1981-12-15,,2.2596834
1981-12-16,,2.2395284
1981-12-17,,2.1432812
1981-12-18,,2.0506668
1981-12-19,,1.9648348
1981-12-20,,1.9104389
1981-12-21,,1.8874215
1981-12-22,,1.9000618
1981-12-23,,1.9079261
1981-12-24,,1.9334198
1981-12-25,,1.9025604
1981-12-26,,1.8786712
1981-12-27,,1.8307296
1981-12-28,,1.8528081
1981-12-29,,1.8597605
1981-12-30,,1.7920021
1981-12-31,,1.7891068
