,Observed,Predicted
1981-01-01,,0.32732496
1981-01-02,,0.31384024
1981-01-03,,0.2999078
1981-01-04,,0.29305336
1981-01-05,,0.29227653
1981-01-06,,0.29097846
1981-01-07,,0.27883688
1981-01-08,,0.2757949
1981-01-09,,0.27819118
1981-01-10,,0.26914948
1981-01-11,,0.25856957
1981-01-12,,0.25787175
1981-01-13,,0.25846916
1981-01-14,,0.25450882
1981-01-15,,0.25592545
1981-01-16,,0.25038075
1981-01-17,,0.24092223
1981-01-18,,0.23615518
1981-01-19,,0.23429699
1981-01-20,,0.23369534
1981-01-21,,0.23085958
1981-01-22,,0.22439766
1981-01-23,,0.22200218
1981-01-24,,0.2229193
1981-01-25,,0.22504427
1981-01-26,,0.22051428
1981-01-27,,0.21991368
1981-01-28,,0.22390458
1981-01-29,,0.21860135
1981-01-30,,0.20766109
1981-01-31,,0.20691548
1981-02-01,,0.20876622
1981-02-02,,0.20986278
1981-02-03,,0.21029197
1981-02-04,,0.21003152
1981-02-05,,0.20363957
1981-02-06,,0.20359902
1981-02-07,,0.20513916
1981-02-08,,0.20035051
1981-02-09,,0.20043002
1981-02-10,,0.20862041
1981-02-11,,0.22784369
1981-02-12,,0.23191997
1981-02-13,,0.23756903
1981-02-14,,0.23038422
1981-02-15,,0.22922833
1981-02-16,,0.23545459
1981-02-17,,0.26124904
1981-02-18,,0.31254026
1981-02-19,,0.38407427
1981-02-20,,0.5347733
1981-02-21,,0.64999276
1981-02-22,,0.7888113
1981-02-23,,1.129017
1981-02-24,,1.7321489
1981-02-25,,1.9741639
1981-02-26,,1.9230465
1981-02-27,,1.7451031
1981-02-28,,1.6103393
1981-03-01,,1.4817523
1981-03-02,,1.3457175
1981-03-03,,1.2129139
1981-03-04,,1.0933617
1981-03-05,,0.9898493
1981-03-06,,0.90653056
1981-03-07,,0.835677
1981-03-08,,0.7977334
1981-03-09,,0.74771184
1981-03-10,,0.6938831
1981-03-11,,0.651127
1981-03-12,,0.6124317
1981-03-13,,0.58002347
1981-03-14,,0.5411462
1981-03-15,,0.5130126
1981-03-16,,0.49358052
1981-03-17,,0.4540363
1981-03-18,,0.4330138
1981-03-19,,0.41304865
1981-03-20,,0.40688246
1981-03-21,,0.40726295
1981-03-22,,0.40490982
1981-03-23,,0.39445403
1981-03-24,,0.38520402
1981-03-25,,0.3911167
1981-03-26,,0.40225175
1981-03-27,,0.42093202
1981-03-28,,0.4402461
1981-03-29,,0.49520883
1981-03-30,,0.6717938
1981-03-31,,1.115362
1981-04-01,,1.5004542
1981-04-02,,1.9541874
1981-04-03,,2.1561399
1981-04-04,,2.2984161
1981-04-05,,2.5237205
1981-04-06,,2.435299
1981-04-07,,2.1710436
1981-04-08,,1.9669939
1981-04-09,,2.0626962
1981-04-10,,2.1878512
1981-04-11,,2.1702461
1981-04-12,,1.9741622
1981-04-13,,1.7648091
1981-04-14,,1.6089722
1981-04-15,,1.5138688
1981-04-16,,1.3682302
1981-04-17,,1.2217509
1981-04-18,,1.1325483
1981-04-19,,1.075518
1981-04-20,,1.0084983
1981-04-21,,0.9203074
1981-04-22,,0.8298224
1981-04-23,,0.7752045
1981-04-24,,0.76258767
1981-04-25,,0.75783736
1981-04-26,,0.7470843
1981-04-27,,0.71107495
1981-04-28,,0.6597174
1981-04-29,,0.66971004
1981-04-30,,0.71046096
1981-05-01,,0.7069808
1981-05-02,,0.6773344
1981-05-03,,0.62802553
1981-05-04,,0.58170646
1981-05-05,,0.56650114
1981-05-06,,0.54710615
1981-05-07,,0.5142844
1981-05-08,,0.47582603
1981-05-09,,0.44974777
1981-05-10,,0.45110852
1981-05-11,,0.63107693
1981-05-12,,1.1328764
1981-05-13,,1.5349021
1981-05-14,,1.7317919
1981-05-15,,1.7493889
1981-05-16,,1.7514056
1981-05-17,,1.759322
1981-05-18,,1.5733287
1981-05-19,,1.3580511
1981-05-20,,1.2061749
1981-05-21,,1.078457
1981-05-22,,0.9658163
1981-05-23,,0.8642438
1981-05-24,,0.77489865
1981-05-25,,0.7382273
1981-05-26,,0.77588
1981-05-27,,0.75443995
1981-05-28,,0.73368955
1981-05-29,,0.7003933
1981-05-30,,0.679732
1981-05-31,,0.6631959
1981-06-01,,0.62126714
1981-06-02,,0.5744546
1981-06-03,,0.54299015
1981-06-04,,0.54491687
1981-06-05,,0.55861914
1981-06-06,,0.62547266
1981-06-07,,0.7366729
1981-06-08,,0.7187375
1981-06-09,,0.7321485
1981-06-10,,0.68916285
1981-06-11,,0.6484712
1981-06-12,,0.62149256
1981-06-13,,0.6113395
1981-06-14,,0.5576667
1981-06-15,,0.55881387
1981-06-16,,0.6081473
1981-06-17,,0.6591169
1981-06-18,,0.64867526
1981-06-19,,0.58952063
1981-06-20,,0.5334146
1981-06-21,,0.5007134
1981-06-22,,0.59626836
1981-06-23,,0.7340418
1981-06-24,,0.788531
1981-06-25,,0.8592629
1981-06-26,,0.83332694
1981-06-27,,0.7904653
1981-06-28,,0.7100477
1981-06-29,,0.6407271
1981-06-30,,0.59428257
1981-07-01,,0.54578674
1981-07-02,,0.51706344
1981-07-03,,0.47938958
1981-07-04,,0.47827926
1981-07-05,,0.49661565
1981-07-06,,0.47209314
1981-07-07,,0.44953677
