,Observed,Predicted
1981-01-01,,1.5457393
1981-01-02,,1.506521
1981-01-03,,1.4519857
1981-01-04,,1.4362077
1981-01-05,,1.4456438
1981-01-06,,1.4526609
1981-01-07,,1.4321923
1981-01-08,,1.4184687
1981-01-09,,1.4116219
1981-01-10,,1.3862064
1981-01-11,,1.3394979
1981-01-12,,1.3302131
1981-01-13,,1.3075662
1981-01-14,,1.2932489
1981-01-15,,1.2851086
1981-01-16,,1.262509
1981-01-17,,1.2366468
1981-01-18,,1.209245
1981-01-19,,1.1806763
1981-01-20,,1.1810124
1981-01-21,,1.1745645
1981-01-22,,1.117549
1981-01-23,,1.1063794
1981-01-24,,1.1295292
1981-01-25,,1.1204026
1981-01-26,,1.1049087
1981-01-27,,1.1064756
1981-01-28,,1.1609006
1981-01-29,,1.1489275
1981-01-30,,1.095954
1981-01-31,,1.089165
1981-02-01,,1.0697143
1981-02-02,,1.0618839
1981-02-03,,1.0525461
1981-02-04,,1.0672414
1981-02-05,,1.0280993
1981-02-06,,1.0209007
1981-02-07,,1.0306966
1981-02-08,,1.0245509
1981-02-09,,1.0220426
1981-02-10,,1.0331603
1981-02-11,,1.2043512
1981-02-12,,1.1890935
1981-02-13,,1.1858779
1981-02-14,,1.1898721
1981-02-15,,1.1134313
1981-02-16,,1.1943547
1981-02-17,,1.3235774
1981-02-18,,1.6910689
1981-02-19,,2.327196
1981-02-20,,3.573971
1981-02-21,,4.844657
1981-02-22,,5.815149
1981-02-23,,7.4726615
1981-02-24,,11.522962
1981-02-25,,14.000871
1981-02-26,,14.350689
1981-02-27,,12.806532
1981-02-28,,11.091888
1981-03-01,,9.626651
1981-03-02,,8.26266
1981-03-03,,7.169339
1981-03-04,,6.0844417
1981-03-05,,5.505031
1981-03-06,,4.821822
1981-03-07,,4.2998023
1981-03-08,,3.9375196
1981-03-09,,3.6478267
1981-03-10,,3.4221015
1981-03-11,,3.213033
1981-03-12,,3.0272336
1981-03-13,,2.84574
1981-03-14,,2.686204
1981-03-15,,2.5527885
1981-03-16,,2.4888663
1981-03-17,,2.32505
1981-03-18,,2.2498817
1981-03-19,,2.1882493
1981-03-20,,2.1848066
1981-03-21,,2.19967
1981-03-22,,2.2005804
1981-03-23,,2.2292893
1981-03-24,,2.3011203
1981-03-25,,2.4047194
1981-03-26,,2.552102
1981-03-27,,2.7697158
1981-03-28,,2.910191
1981-03-29,,3.2317727
1981-03-30,,4.1903667
1981-03-31,,6.607862
1981-04-01,,8.372408
1981-04-02,,10.362548
1981-04-03,,10.8206
1981-04-04,,11.307618
1981-04-05,,11.625245
1981-04-06,,10.969752
1981-04-07,,9.695625
1981-04-08,,8.465923
1981-04-09,,8.556381
1981-04-10,,8.52524
1981-04-11,,8.220311
1981-04-12,,7.656826
1981-04-13,,6.8065
1981-04-14,,6.50854
1981-04-15,,5.9876933
1981-04-16,,5.4989624
1981-04-17,,5.030117
1981-04-18,,4.747588
1981-04-19,,4.496873
1981-04-20,,4.216416
1981-04-21,,4.0146317
1981-04-22,,3.7690938
1981-04-23,,3.632597
1981-04-24,,3.811919
1981-04-25,,3.8283541
1981-04-26,,3.7345562
1981-04-27,,3.6233418
1981-04-28,,3.4606063
1981-04-29,,3.521887
1981-04-30,,3.8335948
1981-05-01,,3.7463267
1981-05-02,,3.544976
1981-05-03,,3.3263106
1981-05-04,,3.095283
1981-05-05,,2.947752
1981-05-06,,2.9383302
1981-05-07,,2.8387012
1981-05-08,,2.6864748
1981-05-09,,2.551106
1981-05-10,,2.5244823
1981-05-11,,3.7428408
1981-05-12,,7.839148
1981-05-13,,9.260676
1981-05-14,,9.474098
1981-05-15,,8.883481
1981-05-16,,8.115467
1981-05-17,,7.193401
1981-05-18,,6.439425
1981-05-19,,5.611677
1981-05-20,,4.900044
1981-05-21,,4.390888
1981-05-22,,3.9541156
1981-05-23,,3.5491521
1981-05-24,,3.203803
1981-05-25,,3.06838
1981-05-26,,3.2280288
1981-05-27,,3.2143736
1981-05-28,,3.0349846
1981-05-29,,2.8541896
1981-05-30,,2.8987253
1981-05-31,,2.9153357
1981-06-01,,2.7121656
1981-06-02,,2.4873006
1981-06-03,,2.3555765
1981-06-04,,2.443867
1981-06-05,,2.5682604
1981-06-06,,2.600574
1981-06-07,,2.6553974
1981-06-08,,2.5299103
1981-06-09,,2.5636325
1981-06-10,,2.43041
1981-06-11,,2.3157103
1981-06-12,,2.1920078
1981-06-13,,2.1176376
1981-06-14,,2.0998101
1981-06-15,,2.401701
1981-06-16,,2.8138058
1981-06-17,,3.46252
1981-06-18,,3.3100307
1981-06-19,,3.0238674
1981-06-20,,2.7481031
1981-06-21,,2.4834168
1981-06-22,,2.6097467
1981-06-23,,3.0553162
1981-06-24,,2.8811896
1981-06-25,,2.8513641
1981-06-26,,2.6864958
1981-06-27,,2.4997404
1981-06-28,,2.2747815
1981-06-29,,2.0983527
1981-06-30,,2.004776
1981-07-01,,1.9510441
1981-07-02,,1.889075
1981-07-03,,1.9258405
1981-07-04,,1.8735318
1981-07-05,,1.9900459
1981-07-06,,1.8704033
1981-07-07,,1.7863063
1981-07-08,,1.6214702
1981-07-09,,1.5069218
1981-07-10,,1.4370849
1981-07-11,,1.3207595
1981-07-12,,1.2214826
1981-07-13,,1.1842917
1981-07-14,,1.2596889
1981-07-15,,1.2350543
1981-07-16,,1.1329623
1981-07-17,,1.0609994
1981-07-18,,1.0285736
1981-07-19,,0.9949804
1981-07-20,,1.0742496
1981-07-21,,1.1196759
1981-07-22,,1.1025594
1981-07-23,,1.0449535
1981-07-24,,0.98233825
1981-07-25,,0.9294372
1981-07-26,,0.98374707
1981-07-27,,1.2394313
1981-07-28,,1.1685483
1981-07-29,,1.1925609
1981-07-30,,1.1127888
1981-07-31,,1.0553817
1981-08-01,,0.9701637
1981-08-02,,0.95085794
1981-08-03,,0.89975905
1981-08-04,,1.052027
1981-08-05,,1.4459237
1981-08-06,,1.4083698
1981-08-07,,1.298687
1981-08-08,,1.3698926
1981-08-09,,1.5496534
1981-08-10,,1.5741928
1981-08-11,,1.5338898
1981-08-12,,1.4379358
1981-08-13,,1.3914301
1981-08-14,,1.2725098
1981-08-15,,1.263538
1981-08-16,,1.367019
1981-08-17,,1.2866459
1981-08-18,,1.2064329
1981-08-19,,1.1173652
1981-08-20,,1.0503814
1981-08-21,,1.0167655
1981-08-22,,0.9787923
1981-08-23,,0.97397757
1981-08-24,,1.056443
1981-08-25,,1.0181445
1981-08-26,,0.98238575
1981-08-27,,0.92243725
1981-08-28,,0.8841919
1981-08-29,,0.89710695
1981-08-30,,1.1651095
1981-08-31,,1.4047029
1981-09-01,,1.6015875
1981-09-02,,1.9853276
1981-09-03,,2.3675537
1981-09-04,,2.914712
1981-09-05,,4.8166857
1981-09-06,,6.0272684
1981-09-07,,6.0907683
1981-09-08,,5.9712987
1981-09-09,,5.8465323
1981-09-10,,5.478647
1981-09-11,,5.570494
1981-09-12,,5.7743134
1981-09-13,,5.776703
1981-09-14,,5.251775
1981-09-15,,4.78016
1981-09-16,,4.2213655
1981-09-17,,3.5993547
1981-09-18,,3.25005
1981-09-19,,3.028936
1981-09-20,,2.9857285
1981-09-21,,2.902391
1981-09-22,,2.7649372
1981-09-23,,2.6251886
1981-09-24,,2.4446754
1981-09-25,,2.3169355
1981-09-26,,2.2277544
1981-09-27,,2.8646228
1981-09-28,,3.2783675
1981-09-29,,3.4066718
1981-09-30,,3.21151
1981-10-01,,3.149733
1981-10-02,,3.7567189
1981-10-03,,4.2668443
1981-10-04,,4.4343204
1981-10-05,,4.323522
1981-10-06,,4.375508
1981-10-07,,5.663921
1981-10-08,,6.869429
1981-10-09,,7.1719465
1981-10-10,,6.786263
1981-10-11,,6.2501054
1981-10-12,,5.522589
1981-10-13,,5.0010114
1981-10-14,,4.5378594
1981-10-15,,4.247956
1981-10-16,,4.174606
1981-10-17,,4.0902348
1981-10-18,,4.3849816
1981-10-19,,4.936357
1981-10-20,,4.9936066
1981-10-21,,4.988975
1981-10-22,,4.6788387
1981-10-23,,4.4535685
1981-10-24,,4.1953344
1981-10-25,,3.9365366
1981-10-26,,3.809917
1981-10-27,,3.7249534
1981-10-28,,3.5940697
1981-10-29,,3.4416704
1981-10-30,,3.2740192
1981-10-31,,3.1373808
1981-11-01,,3.0516648
1981-11-02,,2.9297855
1981-11-03,,2.75813
1981-11-04,,2.6702669
