,Observed,Predicted
1981-01-01,,1.8001595
1981-01-02,,1.7030555
1981-01-03,,1.6148115
1981-01-04,,1.598037
1981-01-05,,1.5918932
1981-01-06,,1.5468258
1981-01-07,,1.4475011
1981-01-08,,1.4292477
1981-01-09,,1.4827943
1981-01-10,,1.4109836
1981-01-11,,1.3505825
1981-01-12,,1.3565052
1981-01-13,,1.3521398
1981-01-14,,1.2929118
1981-01-15,,1.2795302
1981-01-16,,1.2476661
1981-01-17,,1.2038043
1981-01-18,,1.177253
1981-01-19,,1.1570314
1981-01-20,,1.1600229
1981-01-21,,1.1543304
1981-01-22,,1.0820407
1981-01-23,,1.0737523
1981-01-24,,1.0991615
1981-01-25,,1.1329507
1981-01-26,,1.0773212
1981-01-27,,1.0328827
1981-01-28,,1.1299571
1981-01-29,,1.1331453
1981-01-30,,1.0782558
1981-01-31,,1.0980942
1981-02-01,,1.1105225
1981-02-02,,1.048533
1981-02-03,,1.0229161
1981-02-04,,1.0604938
1981-02-05,,1.0382922
1981-02-06,,1.0374337
1981-02-07,,1.0399675
1981-02-08,,1.0062627
1981-02-09,,0.9755669
1981-02-10,,1.0738696
1981-02-11,,1.2412146
1981-02-12,,1.278716
1981-02-13,,1.357196
1981-02-14,,1.3246906
1981-02-15,,1.3337684
1981-02-16,,1.3518975
1981-02-17,,1.4605143
1981-02-18,,1.7875024
1981-02-19,,2.3132699
1981-02-20,,3.1337233
1981-02-21,,4.0903983
1981-02-22,,5.425367
1981-02-23,,9.146822
1981-02-24,,14.67548
1981-02-25,,17.718283
1981-02-26,,18.147926
1981-02-27,,16.63227
1981-02-28,,15.083163
1981-03-01,,13.291796
1981-03-02,,11.604965
1981-03-03,,10.373192
1981-03-04,,9.312119
1981-03-05,,8.522491
1981-03-06,,7.7957816
1981-03-07,,7.220183
1981-03-08,,6.771977
1981-03-09,,6.3052793
1981-03-10,,5.8396106
1981-03-11,,5.429484
1981-03-12,,5.1119394
1981-03-13,,4.839602
1981-03-14,,4.525156
1981-03-15,,4.3368187
1981-03-16,,4.164308
1981-03-17,,3.8354084
1981-03-18,,3.727014
1981-03-19,,3.5705686
1981-03-20,,3.507771
1981-03-21,,3.3705873
1981-03-22,,3.2909248
1981-03-23,,3.1110706
1981-03-24,,2.960907
1981-03-25,,2.88739
1981-03-26,,2.8497496
1981-03-27,,2.873489
1981-03-28,,2.974785
1981-03-29,,3.3874278
1981-03-30,,4.8478236
1981-03-31,,8.597485
1981-04-01,,11.9194355
1981-04-02,,17.243155
1981-04-03,,19.56591
1981-04-04,,22.827866
1981-04-05,,26.735132
1981-04-06,,26.354343
1981-04-07,,22.916464
1981-04-08,,20.320562
1981-04-09,,20.658146
1981-04-10,,21.417448
1981-04-11,,20.510588
1981-04-12,,18.123896
1981-04-13,,15.603529
1981-04-14,,13.955513
1981-04-15,,12.864621
1981-04-16,,11.2053
1981-04-17,,9.918156
1981-04-18,,9.206314
1981-04-19,,8.588248
1981-04-20,,8.015508
1981-04-21,,7.307992
1981-04-22,,6.442021
1981-04-23,,5.8973393
1981-04-24,,5.7104836
1981-04-25,,5.7916913
1981-04-26,,5.666373
1981-04-27,,5.386184
1981-04-28,,5.026193
1981-04-29,,5.0463
1981-04-30,,5.358325
1981-05-01,,5.304587
1981-05-02,,5.0341926
1981-05-03,,4.6265225
1981-05-04,,4.2442937
1981-05-05,,4.0079117
1981-05-06,,3.7763052
1981-05-07,,3.6045663
1981-05-08,,3.3092356
1981-05-09,,3.1282914
1981-05-10,,3.1413486
1981-05-11,,4.339098
1981-05-12,,7.666428
1981-05-13,,10.378696
1981-05-14,,12.155786
1981-05-15,,12.5919895
1981-05-16,,12.90699
1981-05-17,,12.572527
1981-05-18,,11.480388
1981-05-19,,9.907202
1981-05-20,,8.626163
1981-05-21,,7.5449963
1981-05-22,,6.612274
1981-05-23,,5.7551165
1981-05-24,,5.0816574
1981-05-25,,4.803531
1981-05-26,,5.1331844
1981-05-27,,5.0021105
1981-05-28,,4.8864155
1981-05-29,,4.6395187
1981-05-30,,4.4435697
1981-05-31,,4.241241
1981-06-01,,3.866174
1981-06-02,,3.466606
1981-06-03,,3.199442
1981-06-04,,3.3294249
1981-06-05,,3.7392383
1981-06-06,,4.4193606
1981-06-07,,5.819963
1981-06-08,,5.5034037
1981-06-09,,5.6698446
1981-06-10,,5.2587857
1981-06-11,,4.9794283
1981-06-12,,4.5600605
1981-06-13,,4.1135645
1981-06-14,,3.6148918
1981-06-15,,3.594257
1981-06-16,,4.086086
1981-06-17,,4.266879
1981-06-18,,3.8945534
1981-06-19,,3.6755795
1981-06-20,,3.3115873
1981-06-21,,3.066824
1981-06-22,,3.98132
1981-06-23,,5.2942214
1981-06-24,,5.673017
1981-06-25,,6.06827
1981-06-26,,5.9370294
1981-06-27,,5.5218687
1981-06-28,,5.0760384
1981-06-29,,4.476746
1981-06-30,,4.2327857
1981-07-01,,3.8130164
1981-07-02,,3.5511236
1981-07-03,,3.2560222
1981-07-04,,3.0678632
1981-07-05,,3.0654151
1981-07-06,,2.933563
1981-07-07,,2.689931
1981-07-08,,2.3789701
1981-07-09,,2.134318
1981-07-10,,1.9150498
1981-07-11,,1.6905458
1981-07-12,,1.5739144
1981-07-13,,1.4509367
1981-07-14,,1.3652264
1981-07-15,,1.2898912
1981-07-16,,1.1846462
1981-07-17,,1.0862143
1981-07-18,,1.005049
1981-07-19,,0.97174317
1981-07-20,,0.9556573
1981-07-21,,0.9870478
1981-07-22,,0.93041474
1981-07-23,,0.92189825
1981-07-24,,0.8696955
1981-07-25,,0.7890321
1981-07-26,,0.8138495
1981-07-27,,0.86081576
1981-07-28,,0.8809489
1981-07-29,,0.8833417
1981-07-30,,0.83461195
1981-07-31,,0.7619759
1981-08-01,,0.6457504
1981-08-02,,0.61916363
1981-08-03,,0.57798266
1981-08-04,,0.6395525
1981-08-05,,1.265519
1981-08-06,,1.449057
1981-08-07,,1.5833019
1981-08-08,,2.36422
1981-08-09,,3.7461796
1981-08-10,,4.777388
1981-08-11,,5.391965
1981-08-12,,5.3872876
1981-08-13,,4.9298096
1981-08-14,,4.2296815
1981-08-15,,3.7078538
1981-08-16,,3.5236614
1981-08-17,,3.0370839
1981-08-18,,2.6123326
1981-08-19,,2.266873
1981-08-20,,1.9770646
1981-08-21,,1.7247012
1981-08-22,,1.5898275
1981-08-23,,1.4493548
1981-08-24,,1.3566078
1981-08-25,,1.341891
1981-08-26,,1.1606581
1981-08-27,,1.0920732
1981-08-28,,1.0440056
1981-08-29,,1.0803715
1981-08-30,,2.0618002
1981-08-31,,3.411504
1981-09-01,,3.520708
1981-09-02,,4.439367
1981-09-03,,5.63567
1981-09-04,,6.6786933
1981-09-05,,9.007539
1981-09-06,,9.864017
1981-09-07,,10.021383
1981-09-08,,10.042998
1981-09-09,,11.19529
1981-09-10,,11.728734
1981-09-11,,13.837769
1981-09-12,,14.053322
1981-09-13,,13.990252
1981-09-14,,13.268031
1981-09-15,,11.326943
1981-09-16,,9.469832
1981-09-17,,8.80224
1981-09-18,,7.787717
1981-09-19,,7.148574
1981-09-20,,6.9212875
1981-09-21,,6.404646
1981-09-22,,5.9074035
1981-09-23,,5.415658
1981-09-24,,4.9187083
1981-09-25,,4.4868293
1981-09-26,,4.175542
1981-09-27,,4.699779
1981-09-28,,5.209044
1981-09-29,,5.22298
1981-09-30,,4.9532228
1981-10-01,,4.914142
1981-10-02,,5.6966653
1981-10-03,,6.365195
1981-10-04,,6.733113
1981-10-05,,6.894328
1981-10-06,,7.6120334
1981-10-07,,10.598374
1981-10-08,,13.140378
1981-10-09,,13.73482
1981-10-10,,13.236526
1981-10-11,,12.183739
1981-10-12,,10.997529
1981-10-13,,9.844036
1981-10-14,,8.760727
1981-10-15,,7.986253
