,Observed,Predicted
1981-01-01,,3.084943
1981-01-02,,2.9196692
1981-01-03,,2.724654
1981-01-04,,2.7158003
1981-01-05,,2.735621
1981-01-06,,2.6473622
1981-01-07,,2.44639
1981-01-08,,2.3959146
1981-01-09,,2.4851687
1981-01-10,,2.3476908
1981-01-11,,2.2686362
1981-01-12,,2.3110082
1981-01-13,,2.306392
1981-01-14,,2.2475793
1981-01-15,,2.2291138
1981-01-16,,2.1418903
1981-01-17,,2.0669217
1981-01-18,,2.021354
1981-01-19,,2.006266
1981-01-20,,2.0406415
1981-01-21,,1.9813076
1981-01-22,,1.8623188
1981-01-23,,1.8572366
1981-01-24,,1.8918432
1981-01-25,,1.9499533
1981-01-26,,1.8742732
1981-01-27,,1.8270292
1981-01-28,,1.9442815
1981-01-29,,1.9180313
1981-01-30,,1.8243315
1981-01-31,,1.8505795
1981-02-01,,1.8602902
1981-02-02,,1.8212184
1981-02-03,,1.7571743
1981-02-04,,1.8538296
1981-02-05,,1.8375561
1981-02-06,,1.829847
1981-02-07,,1.8351996
1981-02-08,,1.7891315
1981-02-09,,1.7576841
1981-02-10,,1.9637481
1981-02-11,,2.2982628
1981-02-12,,2.3164763
1981-02-13,,2.4813707
1981-02-14,,2.41912
1981-02-15,,2.410647
1981-02-16,,2.4687953
1981-02-17,,2.6309407
1981-02-18,,3.2428327
1981-02-19,,4.156445
1981-02-20,,5.837854
1981-02-21,,7.824164
1981-02-22,,11.380124
1981-02-23,,18.648594
1981-02-24,,32.8848
1981-02-25,,44.955563
1981-02-26,,47.00965
1981-02-27,,41.82098
1981-02-28,,35.766273
1981-03-01,,29.136768
1981-03-02,,23.751125
1981-03-03,,20.53594
1981-03-04,,17.7716
1981-03-05,,15.829542
1981-03-06,,14.095814
1981-03-07,,12.736234
1981-03-08,,11.671377
1981-03-09,,10.648609
1981-03-10,,9.811337
1981-03-11,,9.023871
1981-03-12,,8.432056
1981-03-13,,7.8660097
1981-03-14,,7.376023
1981-03-15,,7.023639
1981-03-16,,6.7929177
1981-03-17,,6.276432
1981-03-18,,6.0530243
1981-03-19,,5.754604
1981-03-20,,5.5337744
1981-03-21,,5.346032
1981-03-22,,5.1165285
1981-03-23,,5.0348506
1981-03-24,,4.9157906
1981-03-25,,4.987067
1981-03-26,,5.122766
1981-03-27,,5.3777733
1981-03-28,,5.6774693
1981-03-29,,6.559663
1981-03-30,,9.51729
1981-03-31,,17.318054
1981-04-01,,26.310085
1981-04-02,,39.11597
1981-04-03,,46.88558
1981-04-04,,55.253902
1981-04-05,,64.140396
1981-04-06,,61.26627
1981-04-07,,50.17319
1981-04-08,,40.825756
1981-04-09,,42.96229
1981-04-10,,46.06776
1981-04-11,,44.501507
1981-04-12,,38.18311
1981-04-13,,31.404444
1981-04-14,,27.010685
1981-04-15,,25.131155
1981-04-16,,21.830425
1981-04-17,,19.382898
1981-04-18,,17.816414
1981-04-19,,16.721981
1981-04-20,,15.58598
1981-04-21,,14.357086
1981-04-22,,12.620299
1981-04-23,,11.380575
1981-04-24,,11.022314
1981-04-25,,11.499842
1981-04-26,,11.655461
1981-04-27,,11.158718
1981-04-28,,10.431719
1981-04-29,,10.7058115
1981-04-30,,11.979247
1981-05-01,,12.468975
1981-05-02,,12.060543
