,Observed,Predicted
1981-01-01,,1.3095953
1981-01-02,,1.2830836
1981-01-03,,1.263808
1981-01-04,,1.2266916
1981-01-05,,1.2020993
1981-01-06,,1.2272924
1981-01-07,,1.213352
1981-01-08,,1.198218
1981-01-09,,1.1723248
1981-01-10,,1.1688858
1981-01-11,,1.1471921
1981-01-12,,1.1271802
1981-01-13,,1.1246649
1981-01-14,,1.10999
1981-01-15,,1.097843
1981-01-16,,1.0831351
1981-01-17,,1.0749607
1981-01-18,,1.0664394
1981-01-19,,1.0556971
1981-01-20,,1.0334382
1981-01-21,,1.0254424
1981-01-22,,1.0192432
1981-01-23,,1.0000777
1981-01-24,,0.9913595
1981-01-25,,0.98989093
1981-01-26,,1.0036639
1981-01-27,,1.0114554
1981-01-28,,1.0042262
1981-01-29,,0.98193824
1981-01-30,,0.96046853
1981-01-31,,0.95090073
1981-02-01,,0.94970554
1981-02-02,,0.9618789
1981-02-03,,0.9541221
1981-02-04,,0.93758565
1981-02-05,,0.93383557
1981-02-06,,0.93231064
1981-02-07,,0.9171609
1981-02-08,,0.91049665
1981-02-09,,0.90068483
1981-02-10,,0.89594185
1981-02-11,,0.9643239
1981-02-12,,0.97092324
1981-02-13,,0.97849387
1981-02-14,,0.9647014
1981-02-15,,0.95234054
1981-02-16,,0.9740483
1981-02-17,,1.0412269
1981-02-18,,1.1368889
1981-02-19,,1.2631623
1981-02-20,,1.4227377
1981-02-21,,1.4868938
1981-02-22,,1.5909302
1981-02-23,,1.837618
1981-02-24,,2.3833785
1981-02-25,,2.5018342
1981-02-26,,2.404593
1981-02-27,,2.2285032
1981-02-28,,2.1308675
1981-03-01,,2.1264353
1981-03-02,,2.0272555
1981-03-03,,1.9099135
1981-03-04,,1.7870306
1981-03-05,,1.6988752
1981-03-06,,1.6105239
1981-03-07,,1.5448357
1981-03-08,,1.5197477
1981-03-09,,1.4964117
1981-03-10,,1.4520816
1981-03-11,,1.4230447
1981-03-12,,1.3819249
1981-03-13,,1.3588588
1981-03-14,,1.3057585
1981-03-15,,1.2737824
1981-03-16,,1.2648528
1981-03-17,,1.2065572
1981-03-18,,1.1765277
1981-03-19,,1.1420766
1981-03-20,,1.1207442
1981-03-21,,1.1097225
1981-03-22,,1.084026
1981-03-23,,1.0928642
1981-03-24,,1.0962127
1981-03-25,,1.1019382
1981-03-26,,1.1199256
1981-03-27,,1.1410402
1981-03-28,,1.1444447
1981-03-29,,1.2166741
1981-03-30,,1.4490118
1981-03-31,,1.872439
1981-04-01,,2.0832872
1981-04-02,,2.301479
1981-04-03,,2.271373
1981-04-04,,2.341361
1981-04-05,,2.5567875
1981-04-06,,2.4860075
1981-04-07,,2.2353113
1981-04-08,,2.1192758
1981-04-09,,2.4369388
1981-04-10,,2.843384
1981-04-11,,2.7548478
1981-04-12,,2.6237862
1981-04-13,,2.4307697
1981-04-14,,2.3803332
1981-04-15,,2.407406
1981-04-16,,2.2703283
1981-04-17,,2.1685355
1981-04-18,,2.1118014
1981-04-19,,2.0507953
1981-04-20,,1.957941
1981-04-21,,1.8681017
1981-04-22,,1.7623155
1981-04-23,,1.7298272
1981-04-24,,1.7908276
1981-04-25,,1.8374414
1981-04-26,,1.7801439
1981-04-27,,1.6893029
1981-04-28,,1.6318539
1981-04-29,,1.6711898
1981-04-30,,1.7078913
1981-05-01,,1.6577938
1981-05-02,,1.5900614
1981-05-03,,1.5351102
1981-05-04,,1.4870089
1981-05-05,,1.4649657
1981-05-06,,1.4466438
1981-05-07,,1.3903751
1981-05-08,,1.3438461
1981-05-09,,1.30738
1981-05-10,,1.3327835
1981-05-11,,1.7242689
1981-05-12,,2.6854196
1981-05-13,,3.2329707
1981-05-14,,3.186642
1981-05-15,,3.061709
1981-05-16,,3.0735009
1981-05-17,,3.0315897
1981-05-18,,2.872537
1981-05-19,,2.691783
1981-05-20,,2.5190625
1981-05-21,,2.390729
1981-05-22,,2.2552087
1981-05-23,,2.124963
1981-05-24,,2.004064
1981-05-25,,1.9779383
1981-05-26,,2.1525812
1981-05-27,,2.121338
1981-05-28,,1.9972761
1981-05-29,,1.950552
1981-05-30,,1.90832
1981-05-31,,1.85415
1981-06-01,,1.7392272
1981-06-02,,1.6495951
1981-06-03,,1.6066983
1981-06-04,,1.6489499
1981-06-05,,1.7237656
1981-06-06,,1.7280807
1981-06-07,,1.8423654
1981-06-08,,1.8006366
1981-06-09,,1.8139746
1981-06-10,,1.704419
1981-06-11,,1.5968724
1981-06-12,,1.5414332
1981-06-13,,1.50716
1981-06-14,,1.4199445
1981-06-15,,1.4294957
1981-06-16,,1.5106227
1981-06-17,,1.5037138
1981-06-18,,1.4451448
1981-06-19,,1.3542612
1981-06-20,,1.3015087
1981-06-21,,1.2555001
1981-06-22,,1.4037657
1981-06-23,,1.6441647
1981-06-24,,1.6046361
1981-06-25,,1.667513
1981-06-26,,1.6134981
1981-06-27,,1.5426574
1981-06-28,,1.4845234
1981-06-29,,1.4256154
1981-06-30,,1.4001293
1981-07-01,,1.357569
1981-07-02,,1.3181142
1981-07-03,,1.2865869
1981-07-04,,1.2594287
1981-07-05,,1.2250487
1981-07-06,,1.1881077
1981-07-07,,1.1413962
1981-07-08,,1.0733117
1981-07-09,,1.0208251
1981-07-10,,0.97119474
1981-07-11,,0.9365019
1981-07-12,,0.9074086
