,Observed,Predicted
1981-01-01,,0.5835634
1981-01-02,,0.56397027
1981-01-03,,0.53822136
1981-01-04,,0.5308182
1981-01-05,,0.5283431
1981-01-06,,0.5283274
1981-01-07,,0.5184527
1981-01-08,,0.5153252
1981-01-09,,0.5168265
1981-01-10,,0.50591487
1981-01-11,,0.48642194
1981-01-12,,0.4862855
1981-01-13,,0.48537755
1981-01-14,,0.4800347
1981-01-15,,0.47603032
1981-01-16,,0.46777138
1981-01-17,,0.46031505
1981-01-18,,0.4530174
1981-01-19,,0.4484587
1981-01-20,,0.45542675
1981-01-21,,0.44973418
1981-01-22,,0.43144593
1981-01-23,,0.42934865
1981-01-24,,0.43568635
1981-01-25,,0.43769163
1981-01-26,,0.42957693
1981-01-27,,0.4244763
1981-01-28,,0.43773964
1981-01-29,,0.4400107
1981-01-30,,0.42609885
1981-01-31,,0.42303443
1981-02-01,,0.41706148
1981-02-02,,0.42097765
1981-02-03,,0.41610545
1981-02-04,,0.42031154
1981-02-05,,0.41116995
1981-02-06,,0.4071712
1981-02-07,,0.40846372
1981-02-08,,0.4016212
1981-02-09,,0.4009537
1981-02-10,,0.40850657
1981-02-11,,0.43857816
1981-02-12,,0.43479425
1981-02-13,,0.44294852
1981-02-14,,0.43436444
1981-02-15,,0.41911694
1981-02-16,,0.43482408
1981-02-17,,0.4751985
1981-02-18,,0.5861182
1981-02-19,,0.7810272
1981-02-20,,1.192899
1981-02-21,,1.7039646
1981-02-22,,2.1111126
1981-02-23,,2.8090465
1981-02-24,,4.52348
1981-02-25,,5.487847
1981-02-26,,5.156357
1981-02-27,,4.2076135
1981-02-28,,3.479559
1981-03-01,,2.9002802
1981-03-02,,2.475998
1981-03-03,,2.1360488
1981-03-04,,1.8601793
1981-03-05,,1.6659098
1981-03-06,,1.5026563
1981-03-07,,1.3732605
1981-03-08,,1.3018715
1981-03-09,,1.2416844
1981-03-10,,1.1666421
1981-03-11,,1.0982202
1981-03-12,,1.0405853
1981-03-13,,0.98599684
1981-03-14,,0.9287498
1981-03-15,,0.88964844
1981-03-16,,0.8643661
1981-03-17,,0.8257324
1981-03-18,,0.8023639
1981-03-19,,0.7782902
1981-03-20,,0.76348186
1981-03-21,,0.75687194
1981-03-22,,0.7542202
1981-03-23,,0.75895405
1981-03-24,,0.7811087
1981-03-25,,0.83206785
1981-03-26,,0.90909743
1981-03-27,,1.0089463
1981-03-28,,1.107678
1981-03-29,,1.2771249
1981-03-30,,1.8584087
1981-03-31,,3.4086356
1981-04-01,,4.615116
1981-04-02,,5.5567656
1981-04-03,,5.670541
1981-04-04,,5.5145626
1981-04-05,,5.5814147
1981-04-06,,5.0635624
1981-04-07,,4.2709274
1981-04-08,,3.6122751
1981-04-09,,3.5668323
1981-04-10,,3.750323
1981-04-11,,3.57659
