,Observed,Predicted
1981-01-01,,0.7637306
1981-01-02,,0.7357183
1981-01-03,,0.6922294
1981-01-04,,0.6858643
1981-01-05,,0.68937486
1981-01-06,,0.68882906
1981-01-07,,0.67636794
1981-01-08,,0.6656518
1981-01-09,,0.6702745
1981-01-10,,0.65768045
1981-01-11,,0.6238056
1981-01-12,,0.6324443
1981-01-13,,0.63646436
1981-01-14,,0.63219136
1981-01-15,,0.6257809
1981-01-16,,0.6091062
1981-01-17,,0.5986649
1981-01-18,,0.5883082
1981-01-19,,0.58789
1981-01-20,,0.596775
1981-01-21,,0.5904605
1981-01-22,,0.5570865
1981-01-23,,0.56673115
1981-01-24,,0.5800638
1981-01-25,,0.5851624
1981-01-26,,0.56132317
1981-01-27,,0.56703895
1981-01-28,,0.58976233
1981-01-29,,0.57598925
1981-01-30,,0.5549721
1981-01-31,,0.5590415
1981-02-01,,0.555351
1981-02-02,,0.56390065
1981-02-03,,0.5538449
1981-02-04,,0.5583127
1981-02-05,,0.5422456
1981-02-06,,0.5388
1981-02-07,,0.5542186
1981-02-08,,0.5388395
1981-02-09,,0.5419571
1981-02-10,,0.5654817
1981-02-11,,0.6081928
1981-02-12,,0.60140723
1981-02-13,,0.5998301
1981-02-14,,0.5837996
1981-02-15,,0.58250904
1981-02-16,,0.6148379
1981-02-17,,0.67151684
1981-02-18,,0.8087536
1981-02-19,,1.0429288
1981-02-20,,1.5170954
1981-02-21,,2.1167107
1981-02-22,,2.758806
1981-02-23,,4.1875987
1981-02-24,,7.3754
1981-02-25,,9.284623
1981-02-26,,9.222301
1981-02-27,,7.9957237
1981-02-28,,6.7762113
1981-03-01,,5.6240835
1981-03-02,,4.7215285
1981-03-03,,4.038158
1981-03-04,,3.4590497
1981-03-05,,3.0327656
1981-03-06,,2.702225
1981-03-07,,2.441065
1981-03-08,,2.259357
1981-03-09,,2.0825336
1981-03-10,,1.9218769
1981-03-11,,1.7880889
1981-03-12,,1.6773655
1981-03-13,,1.5767
1981-03-14,,1.4832631
1981-03-15,,1.4145108
1981-03-16,,1.343702
1981-03-17,,1.259484
1981-03-18,,1.2062479
1981-03-19,,1.1660914
1981-03-20,,1.1390834
1981-03-21,,1.1346514
1981-03-22,,1.1059837
1981-03-23,,1.0905912
1981-03-24,,1.097886
1981-03-25,,1.1302246
1981-03-26,,1.2021477
1981-03-27,,1.2953176
1981-03-28,,1.3975973
1981-03-29,,1.6129653
1981-03-30,,2.4113297
1981-03-31,,4.495313
1981-04-01,,6.316301
1981-04-02,,8.138685
1981-04-03,,8.799367
1981-04-04,,9.019811
1981-04-05,,9.563395
1981-04-06,,8.892751
1981-04-07,,7.535101
1981-04-08,,6.3575735
1981-04-09,,6.4286985
1981-04-10,,6.8338866
1981-04-11,,6.5434694
1981-04-12,,6.014922
1981-04-13,,5.0706987
1981-04-14,,4.542169
1981-04-15,,4.275784
1981-04-16,,3.799114
1981-04-17,,3.45159
1981-04-18,,3.1849592
1981-04-19,,3.02872
1981-04-20,,2.8420422
1981-04-21,,2.632071
1981-04-22,,2.4130888
1981-04-23,,2.258558
1981-04-24,,2.288356
1981-04-25,,2.297699
1981-04-26,,2.2579727
1981-04-27,,2.1594307
1981-04-28,,2.0410767
1981-04-29,,2.0844386
1981-04-30,,2.2876647
1981-05-01,,2.2697484
1981-05-02,,2.152532
1981-05-03,,1.976102
1981-05-04,,1.8288397
1981-05-05,,1.7326357
1981-05-06,,1.707766
1981-05-07,,1.6237154
1981-05-08,,1.5015914
1981-05-09,,1.4197208
1981-05-10,,1.4313087
1981-05-11,,2.0501392
1981-05-12,,4.4143977
1981-05-13,,5.960201
1981-05-14,,6.497006
1981-05-15,,6.1558456
1981-05-16,,5.6484656
1981-05-17,,5.1189756
1981-05-18,,4.402498
1981-05-19,,3.7570033
1981-05-20,,3.2341826
1981-05-21,,2.8136857
1981-05-22,,2.4802592
1981-05-23,,2.1966856
1981-05-24,,1.97973
1981-05-25,,1.8864563
1981-05-26,,2.0359025
1981-05-27,,2.0073047
1981-05-28,,1.915227
1981-05-29,,1.821783
1981-05-30,,1.773542
