Datetime,RDRS_v2.1_P_VV_10m,RDRS_v2.1_P_UVC_10m,RDRS_v2.1_P_FI_SFC,RDRS_v2.1_P_FB_SFC,RDRS_v2.1_A_PR0_SFC,RDRS_v2.1_P_HU_09944,RDRS_v2.1_P_P0_SFC,RDRS_v2.1_P_TT_1.5m,RDRS_v2.1_P_HR_1.5m,RDRS_v2.1_P_UU_10m
1980-01-01 08:00:00,0.1137371960858836,2.396544303158667,270.71826804246746,0.4500989764008011,3.4805189820458486e-06,0.0021536946686566,969.1394728236288,-6.289012808813993,0.8765275747634956,-1.394144462371696
1980-01-01 09:00:00,0.4943225883522412,2.597582307957793,272.8845428963808,47.48976637411353,3.1984263951091083e-06,0.0021666490526838,969.345403274105,-5.6028427957491616,0.8495031597254326,-1.556590054012622
1980-01-01 10:00:00,0.8989797743385552,2.912335936252472,273.22540319644264,97.15029243212136,2.814421729236256e-06,0.0022042914172361,969.39747527875,-4.619690612046054,0.8047256657057218,-1.448418095401677
1980-01-01 11:00:00,1.0012185370812772,2.929533737962987,276.18697651960446,140.46069788570023,2.6583019919931565e-06,0.0022579327424361,969.1092566377672,-3.744219566462352,0.7738136253622624,-1.0613686981781565
1980-01-01 12:00:00,1.2946648180112317,2.942323962265593,277.3084889510035,162.3427212334689,2.6940285473533244e-06,0.0023141687376476,968.475127032684,-2.944481849080856,0.7483010424571134,-0.6218930538579082
1980-01-01 13:00:00,1.6368106008140346,2.950861787486112,281.59643687221205,153.84294812551374,3.0502109064001426e-06,0.0023889167714714,967.6149060236272,-2.2867625047127187,0.7351314374591517,-0.3326427178159345
1980-01-01 14:00:00,1.438533934649487,2.970783381276916,287.94569855085734,99.51281826448842,3.6060309153751457e-06,0.0025402343420983,967.1638196116892,-2.007985263454093,0.7648326692077586,-0.5682159103254447
1980-01-01 15:00:00,1.1865859726029802,2.962338060681093,286.8496731545057,71.97017529910161,3.1000784050390348e-06,0.0025798273542409,966.79933133389,-1.8261131485746849,0.7662595763777625,-0.2955068124403263
1980-01-01 16:00:00,0.6329153203695272,2.818203898861699,286.70785819097455,28.28424919307213,4.900625050800771e-06,0.0026178659856733,966.8213303356482,-1.9200667201167525,0.7824712697404204,-0.100120751720882
1980-01-01 17:00:00,0.1862771699319921,2.483648896492559,287.90527460169886,0.0,7.096749689529707e-06,0.0026477366754187,966.8582678775564,-2.4011077002115067,0.8196252691753252,0.2147194838536736
1980-01-01 18:00:00,0.2090034524036703,2.527109094359734,288.5415543909126,0.0,9.16079930674776e-06,0.0026736971018733,966.8732368167548,-2.761532146900216,0.8476782497011633,0.1193634398828833
1980-01-01 19:00:00,0.4448950614429214,2.4969051876195816,284.15262973479406,0.0,1.2715937470563232e-05,0.0027011190574061,966.798748123747,-3.0878577303144032,0.8744791237869227,-0.1706598803775036
1980-01-01 20:00:00,0.6958747732626621,2.513083340531259,280.1775795806188,0.0,1.5318810181205264e-05,0.0027289507932226,966.8049073992656,-3.394115243115427,0.89802395457998,-0.4580193854515668
1980-01-01 21:00:00,0.9198864698772394,2.5747070195650688,278.0807890296091,0.0,1.579815763062858e-05,0.0027536584557047,966.8634015312598,-3.640768610225552,0.9137046302620586,-0.7250415699417813
1980-01-01 22:00:00,1.1320060112796415,2.5884748384349603,279.4851764083436,0.0,1.5298687350769714e-05,0.0027772650571871,966.8550200325944,-3.783569884958032,0.9224279934165696,-0.8813904738951153
1980-01-01 23:00:00,1.174483402025367,2.567117023218289,280.8208051059686,0.0,1.7834559537968312e-05,0.0028028541833475,966.7029580902058,-3.86841247379506,0.930309920374338,-0.8419067900537671
1980-01-02 00:00:00,0.8374855266837806,2.5722649856323634,283.75456829987814,0.0,1.7241713525804755e-05,0.002827453976511,966.441712774456,-3.840617090593616,0.9359056803756484,-0.5005811405830829
1980-01-02 01:00:00,-0.0374294956113122,2.59695183969155,288.27607675268234,0.0,1.587711099612622e-05,0.0028285364879912,966.247608556516,-3.775266722145085,0.9370287573018694,-0.1035655468211019
1980-01-02 02:00:00,-2.5017234212666746,2.612004549979994,280.98029389654744,0.0,9.358867362810933e-06,0.0025232853299434,967.4735943635797,-4.588553029996557,0.911985880509294,0.460853418589783
1980-01-02 03:00:00,-2.78071994422193,2.8566424183387764,275.8728038068031,0.0,9.468935340298193e-06,0.0024005415173628,967.5919784406844,-4.94252855322715,0.8969998340627355,0.3128938818963699
1980-01-02 04:00:00,-3.238891642482818,3.287213085657001,271.95641296604305,0.0,8.955133626674772e-06,0.0022211939778354,967.779108981826,-5.428187531426879,0.8658461849439604,0.1020564588528049
1980-01-02 05:00:00,-3.445041726327277,3.4966573216705226,268.16887123593284,0.0,7.286419252509602e-06,0.0020322289802521,968.3090887669506,-6.027177629872687,0.8331378771402763,0.0334000125119271
1980-01-02 06:00:00,-3.451648837015239,3.520412083902344,261.73989355249694,0.0,4.769805192232997e-06,0.0018590607500819,968.7934072854576,-6.681217610637525,0.8042065693165377,0.0531575978821295
1980-01-02 07:00:00,-3.537640769436876,3.615656875549701,254.75833394237705,0.0,2.5734578051441863e-06,0.001713600521665,969.3138922191132,-7.34729266531375,0.7834863783291336,0.090151517075865
1980-01-02 08:00:00,-3.716269385566443,3.7902856619723,244.45443008869927,0.73029214735272,1.4341277173330748e-06,0.0015946073664385,969.8376516641792,-7.992883042179701,0.768810656758881,0.1157080878712009
1980-01-02 09:00:00,-3.970218258660065,4.033458877390251,235.3986389536965,82.066596574156,9.247635775434954e-07,0.001500353002975,970.3851296638796,-8.080254593408448,0.7311211052649703,0.089642988791276
