Datetime,RDRS_v2.1_P_VV_10m,RDRS_v2.1_P_UVC_10m,RDRS_v2.1_P_FI_SFC,RDRS_v2.1_P_FB_SFC,RDRS_v2.1_A_PR0_SFC,RDRS_v2.1_P_HU_09944,RDRS_v2.1_P_P0_SFC,RDRS_v2.1_P_TT_1.5m,RDRS_v2.1_P_HR_1.5m,RDRS_v2.1_P_UU_10m
1980-01-01 08:00:00,-0.4768246204772526,2.455541361634764,274.0014093212712,0.4055129017855676,1.986706862322404e-06,0.0021392978070818,964.8731910922328,-6.202699304167775,0.8745286753569643,-2.378421671722341
1980-01-01 09:00:00,-0.0456514512441097,2.812189335305208,275.1300783772542,47.69521556626941,1.9975381623851942e-06,0.0021783104368773,965.0696666703068,-5.718423736480019,0.8581881669373499,-2.770602566721574
1980-01-01 10:00:00,1.3897291561870697e-05,2.798032700138707,269.29461457840324,109.85956725046653,1.9161664644303705e-06,0.0022381763964647,965.1104115866046,-4.911087304801804,0.8311173031255776,-2.6961718358447024
1980-01-01 11:00:00,0.6480828079062252,2.8034533915959274,267.98937708943964,164.77906604569262,1.5646999861398805e-06,0.0023107241917432,964.8080416377107,-3.876642178703264,0.7970251036053966,-2.535987037345261
1980-01-01 12:00:00,1.7790764330135942,2.7813619584080245,272.78218885410206,179.788063052051,1.199779170088902e-06,0.0023542360906247,964.1844890315216,-2.938426721007025,0.7604118950698735,-1.708862283400277
1980-01-01 13:00:00,2.502690780555737,2.778169504020987,286.7107738614852,140.87910018484848,1.5345600390749718e-06,0.0023890526064733,963.3433805603804,-2.2757167365595614,0.7351163213016929,-0.0519539860779798
1980-01-01 14:00:00,1.411105411931289,2.7680360228145995,292.7573076473109,84.89544551410148,4.964003987227485e-06,0.0026459923970894,962.8318389345744,-1.8699317955636416,0.7833405109268459,-1.8911951396403264
1980-01-01 15:00:00,1.3617499690440094,2.7168149002632687,295.0338860485976,59.60934028897941,2.5962783435996747e-06,0.0027091824500714,962.4610648063262,-1.6664294666612307,0.78931977759129,-1.5689748990217196
1980-01-01 16:00:00,1.0195398126351478,2.6118078620572254,294.5106537806099,28.883544301315943,1.7999544180689785e-06,0.0027621900157874,962.4670684637156,-1.6399729735200808,0.8022151214400668,-1.0549114623488114
1980-01-01 17:00:00,-0.1190314359481569,2.1306710209715867,292.8983084813131,0.0,3.6694883718368576e-06,0.0027969202074938,962.513333112153,-1.9857809655561136,0.8326919273885585,-0.1060869151089134
