observed_data_series,filename,DIAG_NASH_SUTCLIFFE,DIAG_PCT_BIAS,DIAG_KLING_GUPTA,
HYDROGRAPH_TESTING[3048815],./raven/02KB001_MDA200_LA5//02KB001_Qobs.rvt,0.868298,-11.7672,0.841728,
HYDROGRAPH_ALL[3048815],./raven/02KB001_MDA200_LA5//02KB001_Qobs.rvt,0.868298,-11.7672,0.841728,
