basin,Temperate-or-sub-polar-needleleaf-forest,Sub-polar-taiga-needleleaf-forest,Tropical-or-sub-tropical-broadleaf-evergreen-forest,Tropical-or-sub-tropical-broadleaf-deciduous-forest,Temperate-or-sub-polar-broadleaf-deciduous-forest,Mixed-Forest,Tropical-or-sub-tropical-shrubland,Temperate-or-sub-polar-shrubland,Tropical-or-sub-tropical-grassland,Temperate-or-sub-polar-grassland,Sub-polar-or-polar-shrubland-lichen-moss,Sub-polar-or-polar-grassland-lichen-moss,Sub-polar-or-polar-barren-lichen-moss,Wetland,Cropland,Barren-Lands,Urban-and-Built-up,Water,Snow-and-Ice,mean_elev,mean_slope,std_elev,std_slope,area_km2,gauge_lat,gauge_lon,BD,CLAY,GRAV,OC,SAND,SILT
02KB001_3044506,0.10400795672614889,0.0,0.0,0.0,0.15648329789213877,0.568387268017805,0.0,0.00419802729327919,0.0,0.0003264454363233091,0.0,0.0,0.0,0.017295506341278872,0.0,0.0015925655865492276,0.0,0.14770893270647673,0.0,423.31984793348107,3.6349036318031263,33.582245318675334,2.610275366149671,294.99151497376306,45.83254133281076,-78.34771577482778,155.41953441295547,1.75,1.75,20.0,89.0,7.75
02KB001_3044563,0.1363055289229786,0.0,0.0,0.0,0.10690316395014382,0.580199566776748,0.0,0.004048151699158411,0.0,8.877525656049146e-05,0.0,0.0,0.0,0.008948545861297539,0.0,0.00010653030787258975,0.0,0.1633997372252406,0.0,400.82883522727275,3.9636442198508037,35.61662663380815,2.7074239755382896,50.68234565501475,45.811598500283196,-78.12032759234452,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3044950,0.05668987579977418,0.0,0.0,0.0,0.14392798895997994,0.5740496800903274,0.0,0.0002822732404968009,0.0,0.0,0.0,0.0,0.0,0.008577970141763895,0.0,7.840923347133359e-05,0.0,0.2163938025341864,0.0,422.3572848028449,3.6772236813562285,39.42809107967257,2.693241489600933,57.388222269577625,45.7834381820166,-78.20024487503544,154.9140625,1.75,1.75,20.0,89.0,7.75
02KB001_3044966,0.06412602667525584,0.0,0.0,0.0,0.16261364800960426,0.5807504794811356,0.0,0.006017305242815104,0.0,0.0,0.0,0.0,0.0,0.020716513183901147,0.0,0.0,0.0,0.1657760274072881,0.0,421.18868108318725,4.090157577864856,30.55073025487227,2.7784863714244246,61.472709490360515,45.91816140228628,-78.5434574485361,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3044974,0.03505711318795431,0.0,0.0,0.0,0.13636552440290758,0.7059605399792316,0.0,0.003489096573208723,0.0,0.0004569055036344756,0.0,0.0,0.0,0.031069574247144342,0.0,0.0004153686396677051,0.0,0.0871858774662513,0.0,399.6741231703949,4.094408166308539,35.57540375713302,2.767011839493822,21.662215549592073,45.97074725702946,-78.49941740300822,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3047014,0.05382968418289056,0.0,0.0,0.0,0.2738967675935524,0.5132469366600428,0.0,0.0026299231845155918,0.0,0.00020822111271552016,0.0,0.0,0.0,0.023325291170066858,0.0,0.00036665022021645943,0.0,0.1324965258759998,0.0,456.31622406388,3.781156287223054,32.367360488084046,2.544738223001432,198.8170718028407,45.67851878855093,-78.7830850371915,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3047020,0.060525308216555634,0.0,0.0,0.0,0.18711999387395667,0.49216632207672867,0.0,0.001837813002526993,0.0,4.5945325063174825e-05,0.0,0.0,0.0,0.026870357607780074,0.0,0.0,0.0,0.23143425989738878,0.0,436.07813378302416,3.2133481522483414,26.92282387056764,2.387592256200581,117.53247002776236,45.74832008528538,-78.59527392386644,154.91153846153847,1.75,1.75,20.0,89.0,7.75
02KB001_3047073,0.10756407600331479,0.0,0.0,0.0,0.22714425239730082,0.5652154611104534,0.0,0.0022493192849532377,0.0,0.00035515567657156387,0.0,0.0,0.0,0.02130564105599621,0.0,8.50893808452705e-05,0.0,0.0760810050905647,0.0,451.83919846009576,3.7352733828394356,27.46882157210138,2.4974364709515675,243.267386147613,45.773862115835485,-78.79533903390909,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3047089,0.08399355877616747,0.0,0.0,0.0,0.08936124530327429,0.5361460010735373,0.0,0.00045088566827697265,0.0,0.0,0.0,0.0,0.0,0.011744498121309715,0.0,0.0,0.0,0.27830381105743424,0.0,418.95581927366317,3.0829936072937687,22.74694921568695,2.1940226548443698,41.92041811602098,45.863903937153026,-78.6880426080107,154.75,1.75,1.75,20.0,89.0,7.75
02KB001_3047100,0.0490688809575837,0.0,0.0,0.0,0.17257872629713258,0.6548668269114041,0.0,0.0004613106077160269,0.0,0.0,0.0,0.0,0.0,0.016218709787068734,0.0,0.0,0.0,0.10680554543909486,0.0,428.6565934065934,3.6328886031126815,25.51501598831185,2.284857986842661,37.066963102729346,45.89802210837055,-78.6122907239398,154.75,1.75,1.75,20.0,89.0,7.75
